 ,Area,Mean,StdDev,Min,Max,Perim.,Median
1,0.414,255.000,0.000,255,255,2.873,255
2,0.385,255.000,0.000,255,255,2.640,255
3,0.937,255.000,0.000,255,255,9.525,255
4,0.154,255.000,0.000,255,255,1.665,255
5,1.087,255.000,0.000,255,255,8.325,255
6,0.207,255.000,0.000,255,255,2.041,255
7,0.170,255.000,0.000,255,255,1.628,255
8,0.243,255.000,0.000,255,255,2.025,255
9,0.503,255.000,0.000,255,255,2.836,255
10,0.917,249.358,37.590,0,255,4.666,255
11,0.572,255.000,0.000,255,255,4.644,255
12,0.174,255.000,0.000,255,255,1.553,255
13,0.406,255.000,0.000,255,255,3.473,255
14,0.142,255.000,0.000,255,255,2.258,255
15,0.101,255.000,0.000,255,255,1.320,255
16,1.611,222.884,84.712,0,255,8.002,255
17,0.556,255.000,0.000,255,255,5.132,255
18,1.136,255.000,0.000,255,255,9.767,255
19,0.134,255.000,0.000,255,255,1.665,255
20,0.243,255.000,0.000,255,255,1.935,255
21,0.126,255.000,0.000,255,255,1.246,255
22,0.738,255.000,0.000,255,255,6.113,255
23,0.203,255.000,0.000,255,255,1.845,255
24,0.690,255.000,0.000,255,255,4.995,255
25,0.487,255.000,0.000,255,255,4.629,255
26,0.706,255.000,0.000,255,255,5.228,255
27,0.799,255.000,0.000,255,255,5.265,255
28,0.215,255.000,0.000,255,255,1.823,255
29,0.174,255.000,0.000,255,255,1.718,255
30,0.146,255.000,0.000,255,255,1.320,255
31,0.832,255.000,0.000,255,255,4.731,255
32,0.170,255.000,0.000,255,255,1.538,255
33,0.203,255.000,0.000,255,255,2.025,255
34,0.710,255.000,0.000,255,255,4.178,255
35,0.742,221.557,86.314,0,255,3.638,255
36,0.641,255.000,0.000,255,255,3.653,255
37,0.235,255.000,0.000,255,255,3.398,255
38,0.629,255.000,0.000,255,255,4.486,255
39,0.296,255.000,0.000,255,255,2.507,255
40,0.219,255.000,0.000,255,255,2.168,255
41,0.118,255.000,0.000,255,255,1.687,255
42,0.134,255.000,0.000,255,255,1.500,255
43,0.385,255.000,0.000,255,255,2.970,255
44,0.126,255.000,0.000,255,255,1.448,255
45,0.199,255.000,0.000,255,255,2.821,255
46,1.010,255.000,0.000,255,255,5.933,255
47,0.223,255.000,0.000,255,255,2.025,255
48,0.183,255.000,0.000,255,255,2.296,255
49,0.227,255.000,0.000,255,255,1.951,255
50,0.150,255.000,0.000,255,255,1.426,255
51,0.158,255.000,0.000,255,255,1.650,255
52,0.430,255.000,0.000,255,255,3.165,255
53,0.840,245.145,49.271,0,255,3.864,255
54,0.114,255.000,0.000,255,255,1.681,255
55,0.118,255.000,0.000,255,255,2.115,255
56,0.341,255.000,0.000,255,255,2.317,255
57,0.649,255.000,0.000,255,255,6.331,255
58,0.207,255.000,0.000,255,255,2.768,255
59,0.150,255.000,0.000,255,255,2.025,255
60,0.600,255.000,0.000,255,255,3.346,255
61,0.162,255.000,0.000,255,255,1.485,255
62,0.592,255.000,0.000,255,255,3.165,255
63,0.349,255.000,0.000,255,255,2.243,255
64,0.353,255.000,0.000,255,255,3.234,255
65,0.519,255.000,0.000,255,255,4.057,255
66,0.633,255.000,0.000,255,255,3.939,255
67,0.235,255.000,0.000,255,255,2.926,255
68,0.142,255.000,0.000,255,255,1.659,255
69,0.247,255.000,0.000,255,255,2.131,255
70,0.105,255.000,0.000,255,255,1.283,255
71,0.325,255.000,0.000,255,255,2.168,255
72,0.227,255.000,0.000,255,255,2.529,255
73,0.414,255.000,0.000,255,255,3.135,255
74,0.580,244.301,51.305,0,255,3.256,255
75,0.385,255.000,0.000,255,255,2.603,255
76,0.653,255.000,0.000,255,255,5.309,255
77,0.215,255.000,0.000,255,255,1.861,255
78,0.377,255.000,0.000,255,255,2.348,255
79,0.840,255.000,0.000,255,255,6.645,255
80,0.596,255.000,0.000,255,255,4.756,255
81,0.288,255.000,0.000,255,255,2.603,255
82,1.075,255.000,0.000,255,255,7.418,255
83,0.122,255.000,0.000,255,255,1.358,255
84,1.099,255.000,0.000,255,255,4.883,255
85,0.166,255.000,0.000,255,255,1.606,255
86,0.256,255.000,0.000,255,255,2.640,255
87,0.207,255.000,0.000,255,255,1.935,255
88,0.552,255.000,0.000,255,255,3.706,255
89,0.588,255.000,0.000,255,255,4.576,255
90,0.398,239.388,61.448,0,255,2.693,255
91,0.264,255.000,0.000,255,255,2.063,255
92,0.203,255.000,0.000,255,255,1.808,255
93,0.256,255.000,0.000,255,255,2.333,255
94,0.264,255.000,0.000,255,255,2.041,255
95,0.673,255.000,0.000,255,255,5.567,255
96,0.600,255.000,0.000,255,255,5.061,255
97,0.219,255.000,0.000,255,255,1.845,255
98,0.462,255.000,0.000,255,255,4.396,255
99,0.247,255.000,0.000,255,255,2.100,255
100,0.288,255.000,0.000,255,255,2.190,255
101,0.888,255.000,0.000,255,255,5.461,255
102,0.146,255.000,0.000,255,255,1.665,255
103,0.564,255.000,0.000,255,255,3.961,255
104,0.422,255.000,0.000,255,255,3.038,255
105,0.292,255.000,0.000,255,255,2.715,255
106,0.231,255.000,0.000,255,255,2.401,255
107,0.876,255.000,0.000,255,255,5.940,255
108,0.495,255.000,0.000,255,255,3.339,255
109,0.174,255.000,0.000,255,255,1.590,255
110,0.418,255.000,0.000,255,255,3.271,255
111,0.284,255.000,0.000,255,255,2.190,255
112,0.243,255.000,0.000,255,255,2.948,255
113,2.158,255.000,0.000,255,255,11.320,255
114,0.235,255.000,0.000,255,255,2.146,255
115,0.191,255.000,0.000,255,255,1.808,255
116,1.525,251.609,29.248,0,255,7.642,255
117,0.795,255.000,0.000,255,255,5.377,255
118,0.118,255.000,0.000,255,255,1.193,255
119,0.556,255.000,0.000,255,255,4.396,255
120,1.456,255.000,0.000,255,255,8.853,255
121,1.205,252.424,25.542,0,255,6.586,255
122,0.633,255.000,0.000,255,255,3.346,255
123,0.369,255.000,0.000,255,255,3.165,255
124,0.288,255.000,0.000,255,255,2.115,255
125,1.972,255.000,0.000,255,255,7.073,255
126,1.363,251.964,27.698,0,255,6.660,255
127,0.978,227.490,79.274,0,255,3.976,255
128,1.254,255.000,0.000,255,255,7.710,255
129,0.629,255.000,0.000,255,255,6.204,255
130,0.921,255.000,0.000,255,255,5.769,255
131,0.876,255.000,0.000,255,255,5.694,255
132,1.258,255.000,0.000,255,255,4.529,255
133,0.105,255.000,0.000,255,255,1.665,255
134,0.256,255.000,0.000,255,255,2.115,255
135,0.247,255.000,0.000,255,255,2.423,255
136,0.195,255.000,0.000,255,255,1.913,255
137,0.215,255.000,0.000,255,255,1.861,255
138,1.241,255.000,0.000,255,255,8.161,255
139,0.799,255.000,0.000,255,255,3.781,255
140,1.720,235.153,68.396,0,255,5.769,255
141,0.239,255.000,0.000,255,255,1.913,255
142,1.724,255.000,0.000,255,255,6.496,255
143,0.710,255.000,0.000,255,255,3.510,255
144,0.114,255.000,0.000,255,255,1.193,255
145,1.095,255.000,0.000,255,255,4.163,255
146,0.868,255.000,0.000,255,255,5.244,255
147,1.221,255.000,0.000,255,255,5.821,255
148,1.014,255.000,0.000,255,255,6.067,255
149,0.166,255.000,0.000,255,255,1.410,255
150,1.412,255.000,0.000,255,255,9.142,255
151,2.316,255.000,0.000,255,255,9.018,255
152,0.142,255.000,0.000,255,255,1.643,255
153,0.134,255.000,0.000,255,255,1.485,255
154,0.247,255.000,0.000,255,255,2.175,255
155,0.187,255.000,0.000,255,255,1.808,255
156,1.249,255.000,0.000,255,255,4.787,255
157,1.164,214.129,93.714,0,255,5.250,255
158,1.286,238.107,63.522,0,255,4.681,255
159,1.318,254.215,14.145,0,255,4.815,255
160,1.099,240.886,58.417,0,255,6.294,255
161,0.304,255.000,0.000,255,255,2.296,255
162,0.187,255.000,0.000,255,255,1.643,255
163,1.765,255.000,0.000,255,255,11.677,255
164,2.641,196.244,107.463,0,255,7.629,255
165,0.507,255.000,0.000,255,255,3.023,255
166,0.329,255.000,0.000,255,255,2.603,255
167,1.136,216.750,91.216,0,255,4.013,255
168,1.108,243.791,52.370,0,255,5.597,255
169,0.698,255.000,0.000,255,255,4.268,255
170,0.187,255.000,0.000,255,255,1.681,255
171,0.272,255.000,0.000,255,255,1.988,255
172,0.162,255.000,0.000,255,255,1.463,255
173,0.398,255.000,0.000,255,255,2.476,255
174,0.272,255.000,0.000,255,255,2.115,255
175,0.219,255.000,0.000,255,255,1.681,255
